name,country_code
SURANKOTE JAMMU AND KASHMIR,IND
AYUNGON NEG OR,PHL
DAGUPAN CITY,PHL
DEBREZIET,ETH
BONDJOCK,CMR
IMUS CAVITE,PHL
HAGONOY BULACAN,PHL
PALO LEYTE,PHL
KILINDINI,KEN
TABACO ALBAY,PHL
SN EMILIO ILS SR,PHL
COTABATO CITY,PHL
SAN PABLO CITY,PHL
BASEY W SAMAR,PHL
GUIMBA N ECIJA,PHL
KUMALARANG ZDS,PHL
BAKAMUNA,LKA
GOMBA,UGA
QUEZON CITY,PHL
MAGSINGAL ILS SR,PHL
ALAPPUZHA KERALA,IND
KOLLAM KERALA,IND
LAS TUNAS CUB,UGA
OLONGAPO CITY,PHL
TURUFE,ETH
KIMBIBIT,ETH
TUY BATANGAS,PHL
MACO DVO DN,PHL
NABUNTURAN DDN,PHL
GARCHITORENA CAM,PHL
USSR,RUS
TIGIRAY,ETH
DAVAO CITY,PHL
BALANGA BATAAN,PHL
CAVITE CITY,PHL
CATUBIG NO SAMAR,PHL
DAILEKH,NPL
ARGHAKHANCHI,NPL
MANDALUYONG RZL,PHL
KALU,ETH
SUNSARI,NPL
MARIHATAG SGO DS,PHL
TARLAC TARLAC,PHL
CABATUAN ILOILO,PHL
LIMAY BATAAN,PHL
CADIZ CITY,PHL
CEBU CITY,PHL
KIDAPAWAN COTABATO,PHL
RT LIM ZAM DS,PHL
GMACARTHUR E SMR,PHL
SAN JUAN ILS SR,PHL
CALABANGA CAM S,PHL
MATANAO DVO DS,PHL
UMINGAN PGN,PHL
CABANATUAN CITY,PHL
BATANGAS CITY,PHL
VICTORIA LAGUNA,PHL
L JAENA MIS OC,PHL
HARIPPAD KERALA,IND
Russia,RUS
PINAMALAYAN MDO,PHL
BAYOMBONG N VIZ,PHL
OZAMIZ CITY,PHL
BOCAUE BULACAN,PHL
MULAGO,UGA
GLORIA OR MDO,PHL
GURGAON HARYANA,IND
MBARARA,UGA
RIKHAR BIHAR,IND
KATHMANDU,NPL
NAIROBI,KEN
MANILA,PHL
BATAC ILOCOS N,PHL
ROSARIO LA UNION,PHL
PANDI BULACAN,PHL
CALUBIAN LEYTE,PHL
PANTUKAN DAVAO,PHL
MALOLOS BULACAN,PHL
BACLAYON BOHOL,PHL
N LUCENA ILOILO,PHL
MUNTINLUPA MM,PHL
WAKISO,UGA
PANADURA,LKA
WATHUPITIWALA,LKA
KOLKATA WEST BENGAL,IND
TANAY RIZAL,PHL
NASIPIT ADN,PHL
KIAMBA SO COT,PHL
B NUEVO ILOILO,PHL
VILLASIS PGN,PHL
S JOAQUIN ILOILO,PHL
TAYTAY RIZAL,PHL
MANAPLA NEG OC,PHL
PADADA DVO DS,PHL
BULA CAM SUR,PHL
TINGLOY BATANGAS,PHL
IBA ZAMBALES,PHL
ALLANERA N ECIJA,PHL
PARANAQUE MM,PHL
KIBAWE BUKIDNON,PHL
NAGOOR TAMIL NADU,IND
BUDGE BUDGE WEST BENGAL,IND
BISLIG SGO DS,PHL
KALLEKULAM KERALA,IND
BANKE,NPL
BHATPARA B TE WEST BENGAL,IND
PYUTHAN,NPL
KOZHENCHERRY KERALA,IND
BAL PUNJAB,IND
TUBURAN BASILAN,PHL
KATHOR SURAT GUJARAT,IND
SYANGJA,NPL
GONDAR,ETH
NGOUH WUM,CMR
HARARE,ZWE
MAGPET NO COT,PHL
LUCKNOW UTTAR PRADESH,IND
M FORTICH BKN,PHL
TKM,TKM
MBIAME JAKIRI,CMR
LAMJUNG,NPL
BURKITOTA ODISHA,IND
LIBON ALBAY,PHL
MACHAKOS KEN,KEN
TORORO,UGA
EZHUMATTOOR KERALA,IND
TACH ARMACHIHO,ETH
MAGSAYSAY MIS OR,PHL
TANAUAN BATANGAS,PHL
CAWAYAN MASBATE,PHL
LASAM CAGAYAN,PHL
ISABELA NEG OC,PHL
WOLAITA,ETH
NAVOTAS MM,PHL
POLANGUI ALBAY,PHL
SULULTA,ETH
MURANGA,KEN
LA PAZ TARLAC,PHL
MARAGUA,KEN
MONDRAGON NO SMR,PHL
WESTERN RUKUM,NPL
PALAKKAD KERALA,IND
DOYOGENA,ETH
TANAHUN,NPL
MORANG,NPL
NAWALPARASI EAST,NPL
PUTHENVELIKKARA KERALA,IND
ACCRA,TZA
SIMULBARI DARJEELING WEST BENGAL,IND
A LISTA IFUGAO,PHL
OSHAWA CAN,IND
MAKONDE,ZWE
RAKAI,UGA
MABINI DVO DN,PHL
AMADEO CAVITE,PHL
SAN LUIS PAMPANGA,PHL
BACOLOR PAMPANGA,PHL
POLA OR MDO,PHL
KIAMBU,KEN
KAKAMEGA KEN,KEN
CILACAP,IDN
KALUNGU,UGA
MULANDA,UGA
MASINDI,UGA
MANITO ALBAY,PHL
MAKATI MM,PHL
MURCIA NEG OC,PHL
MUMBAI MAHARASHTRA,IND
COLOMBO,LKA
DANSA,ETH
KURUNEGALA,LKA
CARIGARA LEYTE,PHL
BADOC ILOCOS N,PHL
M MARCOS S KUD,PHL
UMZINGWANE,ZWE
CLARIN BOHOL,PHL
NYERI,KEN
SALAY MIS OR,PHL
BANGA S COTABATO,PHL
BAYUGAN ADS,PHL
MIRPUR AK,PAK
MARAMAG BUKIDNON,PHL
TACURONG S KUD,PHL
BUTUAN CITY,PHL
MYINGYAN,MMN
MAPANDAN PGN,PHL
ZAMBOANGA CITY,PHL
SALCEDO E SAMAR,PHL
BULAWAYO,ZWE
DAPITAN CITY,PHL
VALENCIA BKN,PHL
ALICIA ISABELA,PHL
ROSARIO NO SAMAR,PHL
SARRAT ILOCOS N,PHL
RIZAL CAGAYAN,PHL
TAMBULIG ZAM DS,PHL
TABOGON CEBU,PHL
KANANGA LEYTE,PHL
CONCEPCION ILOILO,PHL
BANTAYAN CEBU,PHL
CANSAULIM GOA,IND
MALANGAS ZAM DS,PHL
TAITA KEN,KEN
BORONGAN E SAMAR,PHL
BAGANGA DVO OR,PHL
PAGBILAO QUEZON,PHL
CALATAGAN BTS,PHL
MALINAO AKLAN,PHL
PENARANDA NE,PHL
ISABEL LEYTE,PHL
TAMPAKAN SO COT,PHL
VALLEHERMOSO NEG,PHL
CALAUAG QUEZON,PHL
LABANGAN ZAM DS,PHL
DASMARINAS CAV,PHL
BALASAN ILOILO,PHL
DYMOCK KERALA,IND
LADANG NO SAMAR,PHL
STA CRUZ ZBS,PHL
DAGENHAM,BRA
CARRANGLAN NE,PHL
SEBETA,ETH
DEBREBIRHAN,ETH
NORTH SHEWA,ETH
THALAIMANNAR,LKA
CHITWAN,NPL
SAN FABIAN PGN,PHL
MARAGONDON CAV,PHL
TULUNAN NO COT,PHL
DUPAX DN N VIZ,PHL
TASNKENT,UZB
SINDHUPALCHOK,NPL
GAMPAHA,LKA
NEGOMBO,LKA
THALA GUJARAT,IND
BACOLOD CITY,PHL
POLOMOLOK SO COT,PHL
RANNA,LKA
PAOAY ILOCOS N,PHL
RASUWA,NPL
KHOTANG,NPL
SUYO ILOCOS SUR,PHL
LAS PINAS MM,PHL
TAITA,KEN
SEETA,UGA
KAYUNGA,UGA
ACHA TUGI,CMR
CHIBI,ZWE
TIGANIA CENTRAL,KEN
PAURI GARHWAL UTTARAKHAND,IND
KONAK,TKM
PASSI ILOILO,PHL
MALUNGON SO COT,PHL
KABANKALAN N OC,PHL
YAYA GULELE,ETH
SAN MIGUEL LEYTE,PHL
