name,country_code,Maid’s ID
GIMJABET,ETH,
ADDIS ABABA,ETH,
SHOA,ETH,
BORENA,ETH,
WONJI GEFERSA,ETH,
EBINAT,ETH,
ARSINEGELE,ETH,
METEMA,ETH,
MOJO,ETH,
WELEN KOMI,ETH,
OLANKOMI,ETH,
SEBETA,ETH,
HOSANA,ETH,
WOLLO,ETH,
HARARIGE,ETH,
HOLETA,ETH,
BATI LEJANA,ETH,
EAST SHEWA,ETH,
BISHEFTU,ETH,
GIMBO,ETH,
HURUTA,ETH,
MESKAN,ETH,
GURAGE,ETH,
DILLA,ETH,
SETIT HUMERA,ETH,
SILTE,ETH,
WENJI,ETH,
JIMMA,ETH,
ADAMA,ETH,
GOMBORA,ETH,
AKAKI,ETH,
ENSENO,ETH,
CHEHA,ETH,
ANLEMO,ETH,
BURAYU,ETH,
BISHOFTU,ETH,
HOSSANA,ETH,
WOLAYTA,ETH,
GEDOBER,ETH,
GAMO,ETH,
DIRE DAWA,ETH,
GINCHI,ETH,
FURSA,ETH,
MELKA,ETH,
GIMBI,ETH,
GONDAR,ETH,
ALIGE,ETH,
ANGECHA,ETH,
S TSAEDENBA,ETH,
ASGORI,ETH,
NEKEMT,ETH,
BOKOJI,ETH,
JIJIGA,ETH,
DEBREBRHAN,ETH,
CHORA,ETH,
GEMA,ETH,
ARSI,ETH,
JELDU,ETH,
WONJI,ETH,
SHIRE,ETH,
SHASHEMENE,ETH,
ABEGORA,ETH,
MINJAR,ETH,
KEFA,ETH,
LOMIWUHA,ETH,
T MACHEW,ETH,
KUNANA,ETH,
MENDI,ETH,
HARKISO,ETH,
GONDER,ETH,
SISE,ETH,
BAGGAO CAGAYAN,PHL,
MONTEVISTA DDN,PHL,
MARIVELES BATAAN,PHL,
GINGOOG CITY,PHL,
STA CRUZ ILS SR,PHL,
ZAMBOANGA CITY,PHL,
PARACELIS MT PRO,PHL,
PINILI ILOCOS N,PHL,
TANGUB CITY,PHL,
BURGOS PGN,PHL,
MARAGONDON CAV,PHL,
BATANGAS CITY,PHL,
PINUKPUK KALINGA,PHL,
M FORTICH BKN,PHL,
MATI DVO OR,PHL,
TIGBAUAN ILOILO,PHL,
BAYOMBONG N VIZ,PHL,
QUEZON CITY,PHL,
DAGUPAN PGN,PHL,
MINALABAC CAM SUR,PHL,
BANAYBANAY DV OR,PHL,
VICTORIAS NEG OC,PHL,
GAMU ISABELA,PHL,
ILIGAN CITY,PHL,
TANZA CAVITE,PHL,
TUBURAN BASILAN,PHL,
BAGUIO CITY,PHL,
CABADBARAN ADN,PHL,
PASAY CITY,PHL,
TALISAY CEBU,PHL,
MANILA,PHL,
ECHAGUE ISABELA,PHL,
BACOLOR PAMPANGA,PHL,
GUIMBA N ECIJA,PHL,
PANITAN CAPIZ,PHL,
OROQUIETA CITY,PHL,
DAPA SURIGAO DN,PHL,
MILAGROS MASBATE,PHL,
KORONADAL SO COT,PHL,
MARAWI CITY,PHL,
POLOMOLOK SO COT,PHL,
CALATRAVA NEG OCC,PHL,
CALOOCAN CITY,PHL,
CABANATUAN CITY,PHL,
GONZAGA CAGAYAN,PHL,
ALIAGA N ECIJA,PHL,
BAGABAG N VIZ,PHL,
TOLEDO CITY,PHL,
MEYCAUAYAN BUL,PHL,
LABASON ZAM DN,PHL,
POLANGUI ALBAY,PHL,
CALATRAVA RBN,PHL,
BALAYAN BTS,PHL,
STO NINO SO COT,PHL,
SAN MANUEL PGN,PHL,
ALLEN NO SAMAR,PHL,
ANGADANAN ISA,PHL,
SAN ISIDRO SGO DN,PHL,
STA LUCIA ILS SR,PHL,
MALUNGON SO COT,PHL,
BOCAUE BULACAN,PHL,
OBANDO BULACAN,PHL,
TAGBILARAN CITY,PHL,
VALENZUELA MM,PHL,
LIBMANAN CAM SUR,PHL,
CAVITE CITY,PHL,
PANAY CAPIZ,PHL,
MATANAO DVO DS,PHL,
PALAYAN CITY,PHL,
LOS BANOS LAGUNA,PHL,
LEBAK S KUDARAT,PHL,
ROXAS PALAWAN,PHL,
TITAY ZAM DS,PHL,
CASIGURAN AURORA,PHL,
NAVOTAS MM,PHL,
IPIL ZAM DS,PHL,
SAN JOSE CITY,PHL,
COTABATO CITY,PHL,
UPI MAGUINDANAO,PHL,
BISLIG SGO DS,PHL,
PASIG MM,PHL,
NABUNTURAN DON,PHL,
BAMBANG N VIZ,PHL,
PASIG CITY,PHL,
SILAY CITY,PHL,
MAGPET NO COT,PHL,
MAGPET COTABATO,PHL,
BANGAR LA UNION,PHL,
MORONG RIZAL,PHL,
DAVAO CITY,PHL,
BANSALAN DVO DS,PHL,
LOPEZ QUEZON,PHL,
VINZONS CAM NO,PHL,
TOBOSO NEG OC,PHL,
URBIZTONDO PGN,PHL,
ROXAS CITY,PHL,
IRIGA CAM SUR,PHL,
STA ROSA LAGUNA,PHL,
STA MARIA BUL,PHL,
MONTALBAN RIZAL,PHL,
NAKURU,KEN,
THIKA,KEN,
KIAMBU,KEN,
NAIROBI,KEN,
NYERI,KEN,
KILIFI,KEN,
KISII,KEN,
KISII CENTRAL,KEN,
BAHATI,KEN,
MURANGA,KEN,
NAKURU NORTH,KEN,
NYAMACHE,KEN,
HAMISI,KEN,
BUTERE,KEN,
KAJIADO,KEN,
KIBWEZI,KEN,
LIMURU,KEN,
BUNGOMA,KEN,
TESO,KEN,
GATUNDU,KEN,
KAKAMEGA,KEN,
MERU SOUTH,KEN,
EMBU,KEN,
MACHAKOS,KEN,
KAKAMEGA CENTRAL,KEN,
TRANS NZOIA WEST,KEN,
MERU CENTRAL,KEN,
LUGARI,KEN,
TAITA,KEN,
MATHIRA,KEN,
VIHIGA,KEN,
SIAYA,KEN,
BUSIA,KEN,
SURANKOTE JAMMU AND KASHMIR,IND,
NARAYANGANJ,BGD,
TIGRAY,ETH,
