name,country_code
JAMMU,IND
DFA DAVAO,PHL
PCG DUBAI,PHL
ETHIOPIA,ETH
DUBAI,CMR
DFA MANILA,PHL
DFA MALOLOS,PHL
DFA ANTIPOLO,PHL
GOVERNMENT OF KENYA,KEN
PE ABU DHABI,PHL
PCG HONG KONG,PHL
DFA COTABATO,PHL
COLOMBO,LKA
UGANDA GOVT KAMPALA,UGA
DFA LA UNION,PHL
COCHIN,IND
TRIVANDRUM,IND
LA HABANA,UGA
DFA ANGELES,PHL
RUSSIA,RUS
PE MANAMA,PHL
MECO TAIPEI,PHL
DFA NCR WEST,PHL
MOFA,NPL
DFA PAMPANGA,PHL
PE KUWAIT,PHL
DFA CEBU,PHL
DFA CLARIN,PHL
Dubai,PHL
DFA LEGAZPI,PHL
DFA LUCENA,PHL
DFA CAGAYAN DE ORO,PHL
DFA NCR SOUTH,PHL
DFA SANTIAGO CITY,PHL
DELHI,IND
KOLKATA,IND
PE MUSCAT,PHL
DFA NCR EAST,PHL
DFA TAGUM,PHL
DFA BAGUIO,PHL
DFA CALASIAO,PHL
DFA GENERAL SANTOS,PHL
PE DOHA,PHL
COIMBATORE,IND
DUBAI,IND
JALANDHAR,IND
AHMEDABAD,IND
PCG JEDDAH,PHL
BUEA,CMR
REGISTRAR GENERAL HRE,ZWE
LUCKNOW,IND
SMST,TKM
YAOUNDE,CMR
BHUBANESWAR,IND
DFA SAN PABLO,PHL
PE RIYADH,PHL
CHENNAI,IND
ACCRA,TZA
WHITBY,IND
DFA DASMARINAS,PHL
PE BRUNEI,PHL
SURAKARTA,IDN
MUMBAI,IND
DFA BUTUAN,PHL
PAKISTAN,PAK
MOHA YANGON,MMN
DFA TACLOBAN,PHL
DFA ILOCOS NORTE,PHL
DFA TUGUEGARAO,PHL
DFA NCR CENTRAL,PHL
DFA ILOILO,PHL
PANAJI,IND
DFA NCR NORTHEAST,PHL
HMPO,BRA
MIA,UZB
SURAT,IND
UGANDA GOVT ABU DHABI,UGA
UGA GOVT KAMPALA,UGA
DEHRADUN,IND
ODEMIS,TKM
DFA BACOLOD,PHL
REGISTRAR GENERAL  HRE,ZWE
Zimbabwe,ZWE
DFA BATANGAS,PHL
DEPT OF HOME AFFAIRS,THA
PE SINGAPORE,PHL
DFA DUMAGUETE,PHL
FREETOWN,SLE
UGANDA GOVT MBARARA,UGA
VIJAYAWADA,IND
PROVINCE DE REHAMNA,MAR
DEI COTONOU,SLE
POLICE NATIONALE,MDG
VISAKHAPATNAM,IND
PE MOSCOW,PHL
JAIPUR,IND
TIRUCHIRAPPALLI,IND
GOVT UGANDA KAMPALA,UGA
ABU DHABI,ESP
SHANDONG,PHL
CHANDIGARH,IND
PE AMMAN,PHL
KOZHIKODE,IND
RANCHI,IND
PE KUALA LUMPUR,PHL
MADURAI,IND
ABU DHABI,IND
DFA NCR NORTH,PHL
THANE,IND
PE BEIRUT,PHL
MOMBASA PASSPORT OFFICE,KEN
GUWAHATI,IND
BANGALORE,IND
PATNA,IND
KBRI ABU DHABI,IDN
POLAND,PHL
TANJUNG UBAN,IDN
AMRITSAR,IND
Morocco,MAR
BENGALURU,IND
UGANDA GOVT ABU DHABI UGA,UGA
DFA TARLAC,PHL
PE TEHRAN,PHL
SEF SERV ESTRE FRONTEIRAS,RUS
Prefecture de Nord LILLE,ARM
Colombia,COL
UGA GOVT Abu Dhabi,UGA
Spain,ESP
DFA CANDON,PHL
KJRI DUBAI,IDN
DFA ZAMBOANGA,PHL
SRS 219041,KGZ
MINISTRY OF FOREIGN AFFAIRS,THA
MBARARA,UGA
Malaysia,MDG
RABAT,MAR
KBRI RIYADH,IDN
PE TRIPOLI,PHL
SHIMLA,IND
MOHA,MMN
KUWAIT,IND
DUBAI,TZA
Thailand,THA
PUNE,IND
REGISTRAR ENERAL HRE,ZWE
PCO DAR ES SALAAM,TZA
JAKARTA BARAT,IDN
