country_code,place_name,cluster_repr
ETH,ARSI,ARSI
ETH,ARSSI,ARSI
ETH,TIGRAY,TIGRAY
ETH,TIGIRAY,TIGRAY
ETH,SHIRE,SHIRE
ETH,SIRE,SHIRE
ETH,SHIRIE,SHIRE
ETH,KATA,KATA
ETH,KAFTA,KATA
ETH,HOSSAENA,HOSSAENA
ETH,HOSANA,HOSSAENA
ETH,HOSSANA,HOSSAENA
ETH,HOSSAHNA,HOSSAENA
ETH,ADDIS ABABA,ADDIS ABABA
ETH,ADDIS ABEBA,ADDIS ABABA
ETH,ASELA,ASELA
ETH,ASSELA,ASELA
ETH,ASELLA,ASELA
ETH,DEBREZEIT,DEBREZEIT
ETH,DEBREZIET,DEBREZEIT
ETH,DEBRE ZEIT,DEBREZEIT
ETH,DEBRE ZIT,DEBREZEIT
ETH,DEBREZEYT,DEBREZEIT
ETH,SHOA,SHOA
ETH,SHOWA,SHOA
ETH,MOJO,MOJO
ETH,MODJO,MOJO
ETH,EAST WOLLEGA,EAST WOLLEGA
ETH,WEST WOLLEGA,EAST WOLLEGA
ETH,GUNCHIRE,GUNCHIRE
ETH,GUNCHRE,GUNCHIRE
ETH,GUNCHERE,GUNCHIRE
ETH,DEJEN,DEJEN
ETH,DEJJEN,DEJEN
ETH,NORTH SHOA,NORTH SHOA
ETH,NORTH SHEWA,NORTH SHOA
ETH,BISHOFTU,BISHOFTU
ETH,BISHEFTU,BISHOFTU
ETH,DEBREBIRHAN,DEBREBIRHAN
ETH,DEBREBRHAN,DEBREBIRHAN
ETH,DEBRE BRHAN,DEBREBIRHAN
ETH,DEBRE BIRHAN,DEBREBIRHAN
ETH,DEBREBREHAN,DEBREBIRHAN
ETH,DIRE DAWA,DIRE DAWA
ETH,DIREDAWA,DIRE DAWA
ETH,DOYO GENA,DOYO GENA
ETH,DOYOGENA,DOYO GENA
ETH,GIMBCHU,GIMBCHU
ETH,GIMBICHU,GIMBCHU
ETH,WADLA,WADLA
ETH,WADA,WADLA
ETH,TACH ARMACHIHO,TACH ARMACHIHO
ETH,TACHARMACHIHO,TACH ARMACHIHO
ETH,ADAMITULU,ADAMITULU
ETH,ADAMI TULU,ADAMITULU
ETH,WOLAITA,WOLAITA
ETH,WOLAYTA,WOLAITA
ETH,WOLAYITA,WOLAITA
ETH,WOALITA,WOLAITA
ETH,JIMMA,JIMMA
ETH,JIMA,JIMMA
ETH,HAWASSA,HAWASSA
ETH,HAWASA,HAWASSA
ETH,AWASSA,HAWASSA
ETH,HADERO,HADERO
ETH,HADER,HADERO
ETH,NORTH WOLO,NORTH WOLO
ETH,NORTH WOLLO,NORTH WOLO
ETH,JIDA,JIDA
ETH,JIDDA,JIDA
ETH,ARSINEGELE,ARSINEGELE
ETH,ARSI NEGELE,ARSINEGELE
ETH,WOLISO,WOLISO
ETH,WOLLISO,WOLISO
ETH,GONDER,GONDER
ETH,GODER,GONDER
ETH,WELDIYA,WELDIYA
ETH,WOLDIYA,WELDIYA
ETH,NEKEMTE,NEKEMTE
ETH,NEKEMT,NEKEMTE
ETH,JIJIGA,JIJIGA
ETH,JIGJIGA,JIJIGA
ETH,DESSIE,DESSIE
ETH,DESSE,DESSIE
ETH,ASHEKUBEGA,ASHEKUBEGA
ETH,ASHE KUBEGA,ASHEKUBEGA
ETH,TULU BOLO,TULU BOLO
ETH,TULUBOLO,TULU BOLO
ETH,FICHE,FICHE
ETH,FITCHE,FICHE
ETH,WEST GOJJAM,WEST GOJJAM
ETH,EAST GOJJAM,WEST GOJJAM
ETH,EAST GOJAM,WEST GOJJAM
